inportant important
laif life
owas always
tgeth together
ceep keep
errey every
dant dont 
blou below
erth earth
thort thoulght
cud could
litgh light
ner near
sitey city
sor saw
bigin begin
clos close
opon open
mit might
neth never
ging going
sunthing somthing
mthar mother
waill while
clos close
sems seems
gt get
cud could
bentwen between
